problem,cost_function,qubits,layers,entanglement,seed,test_accuracy,summary_path,image_path
non convex,weighted_fidelity_chi,4,6,entangled,30,0.97300000,weighted_fidelity_chi/non_convex/4_qubits/entangled/6_layers/L-BFGS-B/appendix_seed_30_summary.txt,weighted_fidelity_chi/non_convex/4_qubits/entangled/6_layers/L-BFGS-B/appendix_seed_30.png
non convex,weighted_fidelity_chi,4,6,not_entangled,30,0.94850000,weighted_fidelity_chi/non_convex/4_qubits/not_entangled/6_layers/L-BFGS-B/appendix_seed_30_summary.txt,weighted_fidelity_chi/non_convex/4_qubits/not_entangled/6_layers/L-BFGS-B/appendix_seed_30.png
non convex,fidelity_chi,1,8,not_entangled,30,0.94575000,fidelity_chi/non_convex/1_qubits/8_layers/L-BFGS-B/appendix_seed_30_summary.txt,fidelity_chi/non_convex/1_qubits/8_layers/L-BFGS-B/appendix_seed_30.png
non convex,fidelity_chi,2,8,entangled,30,0.95250000,fidelity_chi/non_convex/2_qubits/entangled/8_layers/L-BFGS-B/appendix_seed_30_summary.txt,fidelity_chi/non_convex/2_qubits/entangled/8_layers/L-BFGS-B/appendix_seed_30.png
non convex,fidelity_chi,2,8,not_entangled,30,0.95575000,fidelity_chi/non_convex/2_qubits/not_entangled/8_layers/L-BFGS-B/appendix_seed_30_summary.txt,fidelity_chi/non_convex/2_qubits/not_entangled/8_layers/L-BFGS-B/appendix_seed_30.png
non convex,weighted_fidelity_chi,1,8,not_entangled,30,0.96525000,weighted_fidelity_chi/non_convex/1_qubits/8_layers/L-BFGS-B/appendix_seed_30_summary.txt,weighted_fidelity_chi/non_convex/1_qubits/8_layers/L-BFGS-B/appendix_seed_30.png
non convex,weighted_fidelity_chi,2,8,entangled,30,0.97250000,weighted_fidelity_chi/non_convex/2_qubits/entangled/8_layers/L-BFGS-B/appendix_seed_30_summary.txt,weighted_fidelity_chi/non_convex/2_qubits/entangled/8_layers/L-BFGS-B/appendix_seed_30.png
non convex,weighted_fidelity_chi,2,8,not_entangled,30,0.97750000,weighted_fidelity_chi/non_convex/2_qubits/not_entangled/8_layers/L-BFGS-B/appendix_seed_30_summary.txt,weighted_fidelity_chi/non_convex/2_qubits/not_entangled/8_layers/L-BFGS-B/appendix_seed_30.png
non convex,weighted_fidelity_chi,4,8,entangled,30,0.96975000,weighted_fidelity_chi/non_convex/4_qubits/entangled/8_layers/L-BFGS-B/appendix_seed_30_summary.txt,weighted_fidelity_chi/non_convex/4_qubits/entangled/8_layers/L-BFGS-B/appendix_seed_30.png
non convex,weighted_fidelity_chi,4,8,not_entangled,30,0.95900000,weighted_fidelity_chi/non_convex/4_qubits/not_entangled/8_layers/L-BFGS-B/appendix_seed_30_summary.txt,weighted_fidelity_chi/non_convex/4_qubits/not_entangled/8_layers/L-BFGS-B/appendix_seed_30.png
non convex,fidelity_chi,1,10,not_entangled,30,0.94700000,fidelity_chi/non_convex/1_qubits/10_layers/L-BFGS-B/appendix_seed_30_summary.txt,fidelity_chi/non_convex/1_qubits/10_layers/L-BFGS-B/appendix_seed_30.png
non convex,fidelity_chi,2,10,entangled,30,0.95225000,fidelity_chi/non_convex/2_qubits/entangled/10_layers/L-BFGS-B/appendix_seed_30_summary.txt,fidelity_chi/non_convex/2_qubits/entangled/10_layers/L-BFGS-B/appendix_seed_30.png
non convex,fidelity_chi,2,10,not_entangled,30,0.92675000,fidelity_chi/non_convex/2_qubits/not_entangled/10_layers/L-BFGS-B/appendix_seed_30_summary.txt,fidelity_chi/non_convex/2_qubits/not_entangled/10_layers/L-BFGS-B/appendix_seed_30.png
non convex,weighted_fidelity_chi,1,10,not_entangled,30,0.96450000,weighted_fidelity_chi/non_convex/1_qubits/10_layers/L-BFGS-B/appendix_seed_30_summary.txt,weighted_fidelity_chi/non_convex/1_qubits/10_layers/L-BFGS-B/appendix_seed_30.png
non convex,weighted_fidelity_chi,2,10,entangled,30,0.96175000,weighted_fidelity_chi/non_convex/2_qubits/entangled/10_layers/L-BFGS-B/appendix_seed_30_summary.txt,weighted_fidelity_chi/non_convex/2_qubits/entangled/10_layers/L-BFGS-B/appendix_seed_30.png
non convex,weighted_fidelity_chi,2,10,not_entangled,30,0.95725000,weighted_fidelity_chi/non_convex/2_qubits/not_entangled/10_layers/L-BFGS-B/appendix_seed_30_summary.txt,weighted_fidelity_chi/non_convex/2_qubits/not_entangled/10_layers/L-BFGS-B/appendix_seed_30.png
non convex,weighted_fidelity_chi,4,10,entangled,30,0.96875000,weighted_fidelity_chi/non_convex/4_qubits/entangled/10_layers/L-BFGS-B/appendix_seed_30_summary.txt,weighted_fidelity_chi/non_convex/4_qubits/entangled/10_layers/L-BFGS-B/appendix_seed_30.png
non convex,weighted_fidelity_chi,4,10,not_entangled,30,0.95750000,weighted_fidelity_chi/non_convex/4_qubits/not_entangled/10_layers/L-BFGS-B/appendix_seed_30_summary.txt,weighted_fidelity_chi/non_convex/4_qubits/not_entangled/10_layers/L-BFGS-B/appendix_seed_30.png
crown,fidelity_chi,1,1,not_entangled,30,0.44200000,fidelity_chi/crown/1_qubits/1_layers/L-BFGS-B/appendix_seed_30_summary.txt,fidelity_chi/crown/1_qubits/1_layers/L-BFGS-B/appendix_seed_30.png
crown,fidelity_chi,2,1,not_entangled,30,0.50275000,fidelity_chi/crown/2_qubits/not_entangled/1_layers/L-BFGS-B/appendix_seed_30_summary.txt,fidelity_chi/crown/2_qubits/not_entangled/1_layers/L-BFGS-B/appendix_seed_30.png
crown,weighted_fidelity_chi,1,1,not_entangled,30,0.44375000,weighted_fidelity_chi/crown/1_qubits/1_layers/L-BFGS-B/appendix_seed_30_summary.txt,weighted_fidelity_chi/crown/1_qubits/1_layers/L-BFGS-B/appendix_seed_30.png
crown,weighted_fidelity_chi,2,1,not_entangled,30,0.57350000,weighted_fidelity_chi/crown/2_qubits/not_entangled/1_layers/L-BFGS-B/appendix_seed_30_summary.txt,weighted_fidelity_chi/crown/2_qubits/not_entangled/1_layers/L-BFGS-B/appendix_seed_30.png
crown,weighted_fidelity_chi,4,1,not_entangled,30,0.66100000,weighted_fidelity_chi/crown/4_qubits/not_entangled/1_layers/L-BFGS-B/appendix_seed_30_summary.txt,weighted_fidelity_chi/crown/4_qubits/not_entangled/1_layers/L-BFGS-B/appendix_seed_30.png
crown,fidelity_chi,1,2,not_entangled,30,0.48250000,fidelity_chi/crown/1_qubits/2_layers/L-BFGS-B/appendix_seed_30_summary.txt,fidelity_chi/crown/1_qubits/2_layers/L-BFGS-B/appendix_seed_30.png
crown,fidelity_chi,2,2,entangled,30,0.51375000,fidelity_chi/crown/2_qubits/entangled/2_layers/L-BFGS-B/appendix_seed_30_summary.txt,fidelity_chi/crown/2_qubits/entangled/2_layers/L-BFGS-B/appendix_seed_30.png
crown,fidelity_chi,2,2,not_entangled,30,0.50275000,fidelity_chi/crown/2_qubits/not_entangled/2_layers/L-BFGS-B/appendix_seed_30_summary.txt,fidelity_chi/crown/2_qubits/not_entangled/2_layers/L-BFGS-B/appendix_seed_30.png
crown,weighted_fidelity_chi,1,2,not_entangled,30,0.52850000,weighted_fidelity_chi/crown/1_qubits/2_layers/L-BFGS-B/appendix_seed_30_summary.txt,weighted_fidelity_chi/crown/1_qubits/2_layers/L-BFGS-B/appendix_seed_30.png
crown,weighted_fidelity_chi,2,2,entangled,30,0.70725000,weighted_fidelity_chi/crown/2_qubits/entangled/2_layers/L-BFGS-B/appendix_seed_30_summary.txt,weighted_fidelity_chi/crown/2_qubits/entangled/2_layers/L-BFGS-B/appendix_seed_30.png
crown,weighted_fidelity_chi,2,2,not_entangled,30,0.71900000,weighted_fidelity_chi/crown/2_qubits/not_entangled/2_layers/L-BFGS-B/appendix_seed_30_summary.txt,weighted_fidelity_chi/crown/2_qubits/not_entangled/2_layers/L-BFGS-B/appendix_seed_30.png
crown,weighted_fidelity_chi,4,2,entangled,30,0.96000000,weighted_fidelity_chi/crown/4_qubits/entangled/2_layers/L-BFGS-B/appendix_seed_30_summary.txt,weighted_fidelity_chi/crown/4_qubits/entangled/2_layers/L-BFGS-B/appendix_seed_30.png
crown,weighted_fidelity_chi,4,2,not_entangled,30,0.70450000,weighted_fidelity_chi/crown/4_qubits/not_entangled/2_layers/L-BFGS-B/appendix_seed_30_summary.txt,weighted_fidelity_chi/crown/4_qubits/not_entangled/2_layers/L-BFGS-B/appendix_seed_30.png
crown,fidelity_chi,1,3,not_entangled,30,0.48900000,fidelity_chi/crown/1_qubits/3_layers/L-BFGS-B/appendix_seed_30_summary.txt,fidelity_chi/crown/1_qubits/3_layers/L-BFGS-B/appendix_seed_30.png
crown,fidelity_chi,2,3,entangled,30,0.55950000,fidelity_chi/crown/2_qubits/entangled/3_layers/L-BFGS-B/appendix_seed_30_summary.txt,fidelity_chi/crown/2_qubits/entangled/3_layers/L-BFGS-B/appendix_seed_30.png
crown,fidelity_chi,2,3,not_entangled,30,0.50275000,fidelity_chi/crown/2_qubits/not_entangled/3_layers/L-BFGS-B/appendix_seed_30_summary.txt,fidelity_chi/crown/2_qubits/not_entangled/3_layers/L-BFGS-B/appendix_seed_30.png
crown,weighted_fidelity_chi,1,3,not_entangled,30,0.73900000,weighted_fidelity_chi/crown/1_qubits/3_layers/L-BFGS-B/appendix_seed_30_summary.txt,weighted_fidelity_chi/crown/1_qubits/3_layers/L-BFGS-B/appendix_seed_30.png
crown,weighted_fidelity_chi,2,3,entangled,30,0.96275000,weighted_fidelity_chi/crown/2_qubits/entangled/3_layers/L-BFGS-B/appendix_seed_30_summary.txt,weighted_fidelity_chi/crown/2_qubits/entangled/3_layers/L-BFGS-B/appendix_seed_30.png
crown,weighted_fidelity_chi,2,3,not_entangled,30,0.78375000,weighted_fidelity_chi/crown/2_qubits/not_entangled/3_layers/L-BFGS-B/appendix_seed_30_summary.txt,weighted_fidelity_chi/crown/2_qubits/not_entangled/3_layers/L-BFGS-B/appendix_seed_30.png
crown,weighted_fidelity_chi,4,3,entangled,30,0.96525000,weighted_fidelity_chi/crown/4_qubits/entangled/3_layers/L-BFGS-B/appendix_seed_30_summary.txt,weighted_fidelity_chi/crown/4_qubits/entangled/3_layers/L-BFGS-B/appendix_seed_30.png
