campaign_id,model_id,model_code,training_seed,repeat_index,repeat_number,rng_bit_generator,rng_entropy,rng_state_words,method_id,policy,nominal_shots,checkpoint,checkpoint_sha256,exact_accuracy,n_points,accuracy,exact_label_flip_rate,mean_shots,median_shots,p90_shots,p95_shots,stop_fraction_128,stop_fraction_512,stop_fraction_2048,cap_hit,cap_hit_fraction,total_shots,alpha,cp_tail_probability
l4-base-seed-34-repeat-098,l4-base,0,34,98,99,PCG64,2026:4:0:34:98,468014349:3323227108:929548660:2542553106,fixed-128,fixed,128,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M1/1q-l4-paper_squared/seed-34/20260728T120028.841816Z-857625ef03/checkpoint.npz,aa49e7585474b8ca87bb8c73c75dafc61fe63a02d012f66cd24f8ccd03f4f0fc,0.799,1000,0.796,0.037,128.0,128.0,128.0,128.0,1.0,0.0,0.0,0,0.0,128000,,
l4-base-seed-34-repeat-098,l4-base,0,34,98,99,PCG64,2026:4:0:34:98,468014349:3323227108:929548660:2542553106,fixed-512,fixed,512,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M1/1q-l4-paper_squared/seed-34/20260728T120028.841816Z-857625ef03/checkpoint.npz,aa49e7585474b8ca87bb8c73c75dafc61fe63a02d012f66cd24f8ccd03f4f0fc,0.799,1000,0.797,0.012,512.0,512.0,512.0,512.0,0.0,1.0,0.0,0,0.0,512000,,
l4-base-seed-34-repeat-098,l4-base,0,34,98,99,PCG64,2026:4:0:34:98,468014349:3323227108:929548660:2542553106,fixed-2048,fixed,2048,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M1/1q-l4-paper_squared/seed-34/20260728T120028.841816Z-857625ef03/checkpoint.npz,aa49e7585474b8ca87bb8c73c75dafc61fe63a02d012f66cd24f8ccd03f4f0fc,0.799,1000,0.798,0.007,2048.0,2048.0,2048.0,2048.0,0.0,0.0,1.0,0,0.0,2048000,,
l4-base-seed-34-repeat-098,l4-base,0,34,98,99,PCG64,2026:4:0:34:98,468014349:3323227108:929548660:2542553106,adaptive,clopper-pearson-sequential,,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M1/1q-l4-paper_squared/seed-34/20260728T120028.841816Z-857625ef03/checkpoint.npz,aa49e7585474b8ca87bb8c73c75dafc61fe63a02d012f66cd24f8ccd03f4f0fc,0.799,1000,0.798,0.007,328.832,128.0,512.0,2048.0,0.821,0.093,0.086,44,0.044,328832,0.05,0.008333333333333333
l4-base-seed-34-repeat-099,l4-base,0,34,99,100,PCG64,2026:4:0:34:99,366588578:1402187385:1143987544:3791311698,fixed-128,fixed,128,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M1/1q-l4-paper_squared/seed-34/20260728T120028.841816Z-857625ef03/checkpoint.npz,aa49e7585474b8ca87bb8c73c75dafc61fe63a02d012f66cd24f8ccd03f4f0fc,0.799,1000,0.784,0.031,128.0,128.0,128.0,128.0,1.0,0.0,0.0,0,0.0,128000,,
l4-base-seed-34-repeat-099,l4-base,0,34,99,100,PCG64,2026:4:0:34:99,366588578:1402187385:1143987544:3791311698,fixed-512,fixed,512,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M1/1q-l4-paper_squared/seed-34/20260728T120028.841816Z-857625ef03/checkpoint.npz,aa49e7585474b8ca87bb8c73c75dafc61fe63a02d012f66cd24f8ccd03f4f0fc,0.799,1000,0.795,0.018,512.0,512.0,512.0,512.0,0.0,1.0,0.0,0,0.0,512000,,
l4-base-seed-34-repeat-099,l4-base,0,34,99,100,PCG64,2026:4:0:34:99,366588578:1402187385:1143987544:3791311698,fixed-2048,fixed,2048,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M1/1q-l4-paper_squared/seed-34/20260728T120028.841816Z-857625ef03/checkpoint.npz,aa49e7585474b8ca87bb8c73c75dafc61fe63a02d012f66cd24f8ccd03f4f0fc,0.799,1000,0.798,0.011,2048.0,2048.0,2048.0,2048.0,0.0,0.0,1.0,0,0.0,2048000,,
l4-base-seed-34-repeat-099,l4-base,0,34,99,100,PCG64,2026:4:0:34:99,366588578:1402187385:1143987544:3791311698,adaptive,clopper-pearson-sequential,,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M1/1q-l4-paper_squared/seed-34/20260728T120028.841816Z-857625ef03/checkpoint.npz,aa49e7585474b8ca87bb8c73c75dafc61fe63a02d012f66cd24f8ccd03f4f0fc,0.799,1000,0.797,0.01,329.984,128.0,512.0,2048.0,0.822,0.091,0.087,39,0.039,329984,0.05,0.008333333333333333
l4-to-l3-pruned-seed-30-repeat-000,l4-to-l3-pruned,1,30,0,1,PCG64,2026:4:1:30:0,3530545280:4160873737:4070744156:1876985979,fixed-128,fixed,128,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M3/l4-to-l3-pruned/seed-30/20260728T120924.614692Z-567961a57b/checkpoint.npz,00b9e3df4ef269c4d0ce87e75e6e30b0dbdae7d5d25f9db13c141b120de636ba,0.849,1000,0.844,0.025,128.0,128.0,128.0,128.0,1.0,0.0,0.0,0,0.0,128000,,
l4-to-l3-pruned-seed-30-repeat-000,l4-to-l3-pruned,1,30,0,1,PCG64,2026:4:1:30:0,3530545280:4160873737:4070744156:1876985979,fixed-512,fixed,512,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M3/l4-to-l3-pruned/seed-30/20260728T120924.614692Z-567961a57b/checkpoint.npz,00b9e3df4ef269c4d0ce87e75e6e30b0dbdae7d5d25f9db13c141b120de636ba,0.849,1000,0.847,0.016,512.0,512.0,512.0,512.0,0.0,1.0,0.0,0,0.0,512000,,
l4-to-l3-pruned-seed-30-repeat-000,l4-to-l3-pruned,1,30,0,1,PCG64,2026:4:1:30:0,3530545280:4160873737:4070744156:1876985979,fixed-2048,fixed,2048,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M3/l4-to-l3-pruned/seed-30/20260728T120924.614692Z-567961a57b/checkpoint.npz,00b9e3df4ef269c4d0ce87e75e6e30b0dbdae7d5d25f9db13c141b120de636ba,0.849,1000,0.849,0.01,2048.0,2048.0,2048.0,2048.0,0.0,0.0,1.0,0,0.0,2048000,,
l4-to-l3-pruned-seed-30-repeat-000,l4-to-l3-pruned,1,30,0,1,PCG64,2026:4:1:30:0,3530545280:4160873737:4070744156:1876985979,adaptive,clopper-pearson-sequential,,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M3/l4-to-l3-pruned/seed-30/20260728T120924.614692Z-567961a57b/checkpoint.npz,00b9e3df4ef269c4d0ce87e75e6e30b0dbdae7d5d25f9db13c141b120de636ba,0.849,1000,0.849,0.01,306.56,128.0,512.0,2048.0,0.827,0.1,0.073,38,0.038,306560,0.05,0.008333333333333333
l4-to-l3-pruned-seed-30-repeat-001,l4-to-l3-pruned,1,30,1,2,PCG64,2026:4:1:30:1,730710427:3695915453:1182355520:3217614157,fixed-128,fixed,128,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M3/l4-to-l3-pruned/seed-30/20260728T120924.614692Z-567961a57b/checkpoint.npz,00b9e3df4ef269c4d0ce87e75e6e30b0dbdae7d5d25f9db13c141b120de636ba,0.849,1000,0.849,0.026,128.0,128.0,128.0,128.0,1.0,0.0,0.0,0,0.0,128000,,
l4-to-l3-pruned-seed-30-repeat-001,l4-to-l3-pruned,1,30,1,2,PCG64,2026:4:1:30:1,730710427:3695915453:1182355520:3217614157,fixed-512,fixed,512,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M3/l4-to-l3-pruned/seed-30/20260728T120924.614692Z-567961a57b/checkpoint.npz,00b9e3df4ef269c4d0ce87e75e6e30b0dbdae7d5d25f9db13c141b120de636ba,0.849,1000,0.851,0.012,512.0,512.0,512.0,512.0,0.0,1.0,0.0,0,0.0,512000,,
l4-to-l3-pruned-seed-30-repeat-001,l4-to-l3-pruned,1,30,1,2,PCG64,2026:4:1:30:1,730710427:3695915453:1182355520:3217614157,fixed-2048,fixed,2048,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M3/l4-to-l3-pruned/seed-30/20260728T120924.614692Z-567961a57b/checkpoint.npz,00b9e3df4ef269c4d0ce87e75e6e30b0dbdae7d5d25f9db13c141b120de636ba,0.849,1000,0.848,0.007,2048.0,2048.0,2048.0,2048.0,0.0,0.0,1.0,0,0.0,2048000,,
l4-to-l3-pruned-seed-30-repeat-001,l4-to-l3-pruned,1,30,1,2,PCG64,2026:4:1:30:1,730710427:3695915453:1182355520:3217614157,adaptive,clopper-pearson-sequential,,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M3/l4-to-l3-pruned/seed-30/20260728T120924.614692Z-567961a57b/checkpoint.npz,00b9e3df4ef269c4d0ce87e75e6e30b0dbdae7d5d25f9db13c141b120de636ba,0.849,1000,0.848,0.007,319.616,128.0,512.0,2048.0,0.813,0.109,0.078,46,0.046,319616,0.05,0.008333333333333333
l4-to-l3-pruned-seed-30-repeat-002,l4-to-l3-pruned,1,30,2,3,PCG64,2026:4:1:30:2,505255497:2006041550:3113942840:3686059766,fixed-128,fixed,128,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M3/l4-to-l3-pruned/seed-30/20260728T120924.614692Z-567961a57b/checkpoint.npz,00b9e3df4ef269c4d0ce87e75e6e30b0dbdae7d5d25f9db13c141b120de636ba,0.849,1000,0.851,0.02,128.0,128.0,128.0,128.0,1.0,0.0,0.0,0,0.0,128000,,
l4-to-l3-pruned-seed-30-repeat-002,l4-to-l3-pruned,1,30,2,3,PCG64,2026:4:1:30:2,505255497:2006041550:3113942840:3686059766,fixed-512,fixed,512,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M3/l4-to-l3-pruned/seed-30/20260728T120924.614692Z-567961a57b/checkpoint.npz,00b9e3df4ef269c4d0ce87e75e6e30b0dbdae7d5d25f9db13c141b120de636ba,0.849,1000,0.846,0.013,512.0,512.0,512.0,512.0,0.0,1.0,0.0,0,0.0,512000,,
l4-to-l3-pruned-seed-30-repeat-002,l4-to-l3-pruned,1,30,2,3,PCG64,2026:4:1:30:2,505255497:2006041550:3113942840:3686059766,fixed-2048,fixed,2048,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M3/l4-to-l3-pruned/seed-30/20260728T120924.614692Z-567961a57b/checkpoint.npz,00b9e3df4ef269c4d0ce87e75e6e30b0dbdae7d5d25f9db13c141b120de636ba,0.849,1000,0.848,0.009,2048.0,2048.0,2048.0,2048.0,0.0,0.0,1.0,0,0.0,2048000,,
l4-to-l3-pruned-seed-30-repeat-002,l4-to-l3-pruned,1,30,2,3,PCG64,2026:4:1:30:2,505255497:2006041550:3113942840:3686059766,adaptive,clopper-pearson-sequential,,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M3/l4-to-l3-pruned/seed-30/20260728T120924.614692Z-567961a57b/checkpoint.npz,00b9e3df4ef269c4d0ce87e75e6e30b0dbdae7d5d25f9db13c141b120de636ba,0.849,1000,0.848,0.009,334.592,128.0,512.0,2048.0,0.814,0.098,0.088,42,0.042,334592,0.05,0.008333333333333333
l4-to-l3-pruned-seed-30-repeat-003,l4-to-l3-pruned,1,30,3,4,PCG64,2026:4:1:30:3,297507247:3865387210:2896321649:3389946751,fixed-128,fixed,128,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M3/l4-to-l3-pruned/seed-30/20260728T120924.614692Z-567961a57b/checkpoint.npz,00b9e3df4ef269c4d0ce87e75e6e30b0dbdae7d5d25f9db13c141b120de636ba,0.849,1000,0.848,0.027,128.0,128.0,128.0,128.0,1.0,0.0,0.0,0,0.0,128000,,
l4-to-l3-pruned-seed-30-repeat-003,l4-to-l3-pruned,1,30,3,4,PCG64,2026:4:1:30:3,297507247:3865387210:2896321649:3389946751,fixed-512,fixed,512,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M3/l4-to-l3-pruned/seed-30/20260728T120924.614692Z-567961a57b/checkpoint.npz,00b9e3df4ef269c4d0ce87e75e6e30b0dbdae7d5d25f9db13c141b120de636ba,0.849,1000,0.85,0.021,512.0,512.0,512.0,512.0,0.0,1.0,0.0,0,0.0,512000,,
l4-to-l3-pruned-seed-30-repeat-003,l4-to-l3-pruned,1,30,3,4,PCG64,2026:4:1:30:3,297507247:3865387210:2896321649:3389946751,fixed-2048,fixed,2048,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M3/l4-to-l3-pruned/seed-30/20260728T120924.614692Z-567961a57b/checkpoint.npz,00b9e3df4ef269c4d0ce87e75e6e30b0dbdae7d5d25f9db13c141b120de636ba,0.849,1000,0.845,0.01,2048.0,2048.0,2048.0,2048.0,0.0,0.0,1.0,0,0.0,2048000,,
l4-to-l3-pruned-seed-30-repeat-003,l4-to-l3-pruned,1,30,3,4,PCG64,2026:4:1:30:3,297507247:3865387210:2896321649:3389946751,adaptive,clopper-pearson-sequential,,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M3/l4-to-l3-pruned/seed-30/20260728T120924.614692Z-567961a57b/checkpoint.npz,00b9e3df4ef269c4d0ce87e75e6e30b0dbdae7d5d25f9db13c141b120de636ba,0.849,1000,0.845,0.01,325.76,128.0,512.0,2048.0,0.825,0.09,0.085,43,0.043,325760,0.05,0.008333333333333333
l4-to-l3-pruned-seed-30-repeat-004,l4-to-l3-pruned,1,30,4,5,PCG64,2026:4:1:30:4,581807615:688454040:2895703886:1583302125,fixed-128,fixed,128,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M3/l4-to-l3-pruned/seed-30/20260728T120924.614692Z-567961a57b/checkpoint.npz,00b9e3df4ef269c4d0ce87e75e6e30b0dbdae7d5d25f9db13c141b120de636ba,0.849,1000,0.848,0.031,128.0,128.0,128.0,128.0,1.0,0.0,0.0,0,0.0,128000,,
l4-to-l3-pruned-seed-30-repeat-004,l4-to-l3-pruned,1,30,4,5,PCG64,2026:4:1:30:4,581807615:688454040:2895703886:1583302125,fixed-512,fixed,512,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M3/l4-to-l3-pruned/seed-30/20260728T120924.614692Z-567961a57b/checkpoint.npz,00b9e3df4ef269c4d0ce87e75e6e30b0dbdae7d5d25f9db13c141b120de636ba,0.849,1000,0.848,0.015,512.0,512.0,512.0,512.0,0.0,1.0,0.0,0,0.0,512000,,
l4-to-l3-pruned-seed-30-repeat-004,l4-to-l3-pruned,1,30,4,5,PCG64,2026:4:1:30:4,581807615:688454040:2895703886:1583302125,fixed-2048,fixed,2048,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M3/l4-to-l3-pruned/seed-30/20260728T120924.614692Z-567961a57b/checkpoint.npz,00b9e3df4ef269c4d0ce87e75e6e30b0dbdae7d5d25f9db13c141b120de636ba,0.849,1000,0.845,0.01,2048.0,2048.0,2048.0,2048.0,0.0,0.0,1.0,0,0.0,2048000,,
l4-to-l3-pruned-seed-30-repeat-004,l4-to-l3-pruned,1,30,4,5,PCG64,2026:4:1:30:4,581807615:688454040:2895703886:1583302125,adaptive,clopper-pearson-sequential,,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M3/l4-to-l3-pruned/seed-30/20260728T120924.614692Z-567961a57b/checkpoint.npz,00b9e3df4ef269c4d0ce87e75e6e30b0dbdae7d5d25f9db13c141b120de636ba,0.849,1000,0.845,0.01,320.384,128.0,512.0,2048.0,0.815,0.106,0.079,40,0.04,320384,0.05,0.008333333333333333
l4-to-l3-pruned-seed-30-repeat-005,l4-to-l3-pruned,1,30,5,6,PCG64,2026:4:1:30:5,257509492:2583754119:3162750265:3986862754,fixed-128,fixed,128,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M3/l4-to-l3-pruned/seed-30/20260728T120924.614692Z-567961a57b/checkpoint.npz,00b9e3df4ef269c4d0ce87e75e6e30b0dbdae7d5d25f9db13c141b120de636ba,0.849,1000,0.841,0.03,128.0,128.0,128.0,128.0,1.0,0.0,0.0,0,0.0,128000,,
